productId,variantId,naverUrl,listingStatus,verifiedBy,verificationDate,notes
"batuta-towel-bar","batuta/batuta-towel-bar-satin","","unverified","","",""
"batuta-paper-holder","batuta/batuta-toilet-paper-holder-satin","","unverified","","",""
"belair-towel-bar","belair/belair-towel-bar-satin","","unverified","","",""
"belair-towel-bar","belair/belair-towel-bar-chrome","","unverified","","",""
"brio-towel-bar","brio/brio-towel-bar-satin","","unverified","","",""
"brio-towel-bar","brio/brio-towel-bar-chrome","","unverified","","",""
"brio-paper-holder","brio/brio-toilet-paper-holder-satin","","unverified","","",""
"brio-paper-holder","brio/brio-toilet-paper-holder-chrome","","unverified","","",""
"saco-towel-bar","saco/saco-towel-bar-black","","unverified","","",""
"saco-towel-bar","saco/saco-towel-bar-chrome","","unverified","","",""
"saco-paper-holder","saco/saco-toilet-paper-holder-black","","unverified","","",""
"saco-paper-holder","saco/saco-toilet-paper-holder-chrome","","unverified","","",""
"concord-towel-bar","concord/concord-towel-bar-satin","","unverified","","",""
"concord-towel-bar","concord/concord-towel-bar-chrome","","unverified","","",""
"concord-paper-holder","concord/concord-toilet-paper-holder-satin","","unverified","","",""
"concord-paper-holder","concord/concord-toilet-paper-holder-chrome","","unverified","","",""
"hg01ms","hg/hg01ms-slide-bar-matte","","unverified","","",""
"hg05","hg/hg05-robe-hook-satin","","unverified","","",""
"hg55s","hg/hg55s-slipper-rack-satin","","unverified","","",""
"hg100ms","hg/hg100ms-corner-shelf-matte","","unverified","","",""
"hg1101","hg/hg110-1-recessed-holder-chrome","","unverified","","",""
"hg110c","hg/hg110c-recessed-holder-chrome","","unverified","","",""
"hg110s","hg/hg110s-recessed-holder-satin","","unverified","","",""
"hg112c","hg/hg112c-tray-recessed-holder-chrome","","unverified","","",""
"hg112s","hg/hg112s-tray-recessed-holder-satin","","unverified","","",""
"hg120","hg/hg120-single-paper-holder-chrome","","unverified","","",""
"hg240","hg/hg240-phone-tray-recessed-holder-chrome","","unverified","","",""
"hg392ms","hg/hg392ms-premium-shelf-matte","","unverified","","",""
"hg513","hg/hg513-cleaning-brush-chrome","","unverified","","",""
"hg513","hg/hg513-cleaning-brush-satin","","unverified","","",""
"hg820","hg/hg820-double-towel-shelf-chrome","","unverified","","",""
"hg822c","hg/hg822-double-towel-shelf-chrome","","unverified","","",""
"hg822s","hg/hg822-double-towel-shelf-satin","","unverified","","",""
"hg999","hg/hg999-shaving-mirror-chrome","","unverified","","",""
"hg9992","hg/hg999-2-shaving-mirror-satin","","unverified","","",""
