productId,variantId,verifiedProductNameKo,verifiedCollection,verifiedCategory,modelNumber,finish,dimensions,material,installationMethod,available,documentPaths,verificationStatus,verifiedBy,verificationDate,notes,imagePath,customerVisible
"batuta-towel-bar","batuta/batuta-towel-bar-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"batuta-paper-holder","batuta/batuta-toilet-paper-holder-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"belair-towel-bar","belair/belair-towel-bar-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"belair-towel-bar","belair/belair-towel-bar-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"brio-towel-bar","brio/brio-towel-bar-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"brio-towel-bar","brio/brio-towel-bar-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"brio-paper-holder","brio/brio-toilet-paper-holder-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"brio-paper-holder","brio/brio-toilet-paper-holder-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"saco-towel-bar","saco/saco-towel-bar-black","","","","","블랙","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"saco-towel-bar","saco/saco-towel-bar-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"saco-paper-holder","saco/saco-toilet-paper-holder-black","","","","","블랙","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"saco-paper-holder","saco/saco-toilet-paper-holder-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"concord-towel-bar","concord/concord-towel-bar-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"concord-towel-bar","concord/concord-towel-bar-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"concord-paper-holder","concord/concord-toilet-paper-holder-satin","","","","","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"concord-paper-holder","concord/concord-toilet-paper-holder-chrome","","","","","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg01ms","hg/hg01ms-slide-bar-matte","","","","HG01MS","무광","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg05","hg/hg05-robe-hook-satin","","","","HG05S","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg55s","hg/hg55s-slipper-rack-satin","","","","HG55S","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg100ms","hg/hg100ms-corner-shelf-matte","","","","HG100MS","무광","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg1101","hg/hg110-1-recessed-holder-chrome","","","","HG110-1","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg110c","hg/hg110c-recessed-holder-chrome","","","","HG110C","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg110s","hg/hg110s-recessed-holder-satin","","","","HG110S","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg112c","hg/hg112c-tray-recessed-holder-chrome","","","","HG112C","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg112s","hg/hg112s-tray-recessed-holder-satin","","","","HG112S","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg120","hg/hg120-single-paper-holder-chrome","","","","HG120","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg240","hg/hg240-phone-tray-recessed-holder-chrome","","","","HG240","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg392ms","hg/hg392ms-premium-shelf-matte","","","","HG392MS","무광","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg513","hg/hg513-cleaning-brush-chrome","","","","HG513","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg513","hg/hg513-cleaning-brush-satin","","","","HG513","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg820","hg/hg820-double-towel-shelf-chrome","","","","HG820C","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg822c","hg/hg822-double-towel-shelf-chrome","","","","HG822C","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg822s","hg/hg822-double-towel-shelf-satin","","","","HG822S","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg999","hg/hg999-shaving-mirror-chrome","","","","HG999","크롬","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
"hg9992","hg/hg999-2-shaving-mirror-satin","","","","HG999-2","사틴","","","","false","","unverified","","","현재 카탈로그 값 검토 필요","","true"
