original_filename,extension,detected_format,pixel_width,pixel_height,file_size_bytes,inferred_collection,inferred_product_name,inferred_model_number,inferred_finish,mapped_product_family_id,mapped_variant_id,normalized_destination_path,confidence,validation_note
"바투타/1.바투타수건걸이(사틴).jpg",".jpg","jpeg","6000","4000","2155339","바투타","바투타 수건걸이","","사틴","batuta-towel-bar","batuta/batuta-towel-bar-satin","/images/products/batuta/batuta-towel-bar-satin.jpg","confirmed-from-filename","파일명과 형상이 바투타 수건걸이 사틴 제품과 일치하며 활성 카탈로그에 사용함."
"바투타/2.바투타휴지걸이(사틴).jpg",".jpg","jpeg","6000","4000","3779509","바투타","바투타 휴지걸이","","사틴","batuta-paper-holder","batuta/batuta-toilet-paper-holder-satin","/images/products/batuta/batuta-toilet-paper-holder-satin.jpg","confirmed-from-filename","파일명과 형상은 일치하나 벨레어 사틴 휴지걸이 원본과 완전히 동일한 파일임."
"벨레어/1.벨레어수건걸이(사틴).jpg",".jpg","jpeg","6000","4000","2103381","벨레어","벨레어 수건걸이","","사틴","belair-towel-bar","belair/belair-towel-bar-satin","/images/products/belair/belair-towel-bar-satin.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"벨레어/2.벨레어휴지걸이(사틴).jpg",".jpg","jpeg","6000","4000","3779509","벨레어","벨레어 휴지걸이","","사틴","batuta-paper-holder","belair/belair-toilet-paper-holder-satin","/images/products/belair/belair-toilet-paper-holder-satin.jpg","confirmed-from-filename","파일명과 형상은 일치하나 바투타 사틴 휴지걸이 원본과 완전히 동일한 파일임."
"벨레어/3.벨레어수건걸이(크롬).jpg",".jpg","jpeg","6960","4640","2793579","벨레어","벨레어 수건걸이","","크롬","belair-towel-bar","belair/belair-towel-bar-chrome","/images/products/belair/belair-towel-bar-chrome.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"벨레어/4.벨레어휴지걸이(크롬).jpg",".jpg","jpeg","5344","4520","5575368","벨레어","벨레어 휴지걸이","","크롬","batuta-paper-holder","belair/belair-toilet-paper-holder-chrome","/images/products/belair/belair-toilet-paper-holder-chrome.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"브리오/1.브리오수건걸이(사틴).jpg",".jpg","jpeg","6000","4000","2222485","브리오","브리오 수건걸이","","사틴","brio-towel-bar","brio/brio-towel-bar-satin","/images/products/brio/brio-towel-bar-satin.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"브리오/2.브리오휴지걸이(사틴).jpg",".jpg","jpeg","5304","5304","4792181","브리오","브리오 휴지걸이","","사틴","brio-paper-holder","brio/brio-toilet-paper-holder-satin","/images/products/brio/brio-toilet-paper-holder-satin.jpg","confirmed-from-filename","파일명과 형상은 일치하나 콩코드 사틴 휴지걸이 원본과 완전히 동일한 파일임."
"브리오/3.브리오수건걸이(크롬).jpg",".jpg","jpeg","6000","4000","2308603","브리오","브리오 수건걸이","","크롬","brio-towel-bar","brio/brio-towel-bar-chrome","/images/products/brio/brio-towel-bar-chrome.jpg","confirmed-from-filename","컬렉션, 제품 종류, 마감이 파일명과 제품 형상에서 일치함."
"브리오/4.브리오휴지걸이(크롬).jpg",".jpg","jpeg","5304","5304","5076268","브리오","브리오 휴지걸이","","크롬","brio-paper-holder","brio/brio-toilet-paper-holder-chrome","/images/products/brio/brio-toilet-paper-holder-chrome.jpg","confirmed-from-filename","제품 소유자가 기존 브리오 휴지걸이의 크롬 이미지로 확인함."
